	Unnamed: 0	Latitud	Longitud	Altura	Taxa	Mes	Anio	Titulo	Descripcion	Institucion	Fuente	Contacto
0	15	-24.03902	-66.52587	4255	4	Diciembre	2016	Roedores	Micromamiferos no voaldores	INECOA	José H. Urquizo	urquizojose@gmail.com 
1	16	-23.69866	-65.65712	4204	3	Marzo	2017	Roedores	Micromamiferos no voaldores	INECOA	José H. Urquizo	urquizojose@gmail.com 
2	17	-24.01783	-65.78198	4200	4	Marzo	2017	Roedores	Micromamiferos no voaldores	INECOA	José H. Urquizo	urquizojose@gmail.com 
3	18	-24.0086388888889	-65.7885555555555	4113	3	Noviembre	2016	Roedores	Micromamiferos no voaldores	INECOA	José H. Urquizo	urquizojose@gmail.com 
4	19	-22.57798	-66.8428	4548	2	Marzo	2016	Roedores	Micromamiferos no voaldores	INECOA	José H. Urquizo	urquizojose@gmail.com 
5	35	-24.03902	-66.52587	4255	4	Diciembre	2016	Roedores	Micromamiferos 	INECOA	José H. Urquizo	urquizojose@gmail.com 
6	36	-23.69866	-65.65712	4204	3	Marzo	2017	Roedores	Micromamiferos 	INECOA	José H. Urquizo	urquizojose@gmail.com 
7	37	-24.01783	-65.78198	4200	4	Marzo	2017	Roedores	Micromamiferos 	INECOA	José H. Urquizo	urquizojose@gmail.com 
8	38	-24.0086388888889	-65.7885555555555	4113	3	Noviembre	2016	Roedores	Micromamiferos 	INECOA	José H. Urquizo	urquizojose@gmail.com 
9	39	-22.57798	-66.8428	4548	2	Marzo	2016	Roedores	Micromamiferos	INECOA	José H. Urquizo	urquizojose@gmail.com 
10	62	-22.128297225	-65.46616111	3500	2	Diciembre	2012	Chiroptera	Micromamiferos voaldores	INECOA	José H. Urquizo	urquizojose@gmail.com 
11	63	-24.303559	-65.416844	1684	1	Junio	2015	Anuros	perfiles de alcaloides y una profusión de nuevas estructuras	INECOA	Publicación	marcos.vaira@gmail.com
12	64	-24.30326	-65.28782	1300	8	Enero-Febrero	2015	Anuros	Especies en Sierra_Monte_Bolsones	INECOA	Tesina de grado Facultad de Ciencias Agrarias UNJu Lic. Noelia González	novi.arg31@gmail.com
13	67	-24.275315	-65.409696	1615	1		2011	Anuros	Especies en Sierra_Monte_Bolsones	INECOA	Publicación	marcos.vaira@gmail.com
14	70	-24.2571	-65.33913	1414	1		2009-2017	Anuros	Especies en Sierra_Monte_Bolsones	INECOA		mauriakme@gmail.com
15	74	-24.24361	-65.14799	1052	11			Anuros	Especies en Sierra_Monte_Bolsones	INECOA	Tesina de grado Facultad de Ciencias Agrarias UNJu Lic. Noelia González	novi.arg31@gmail.com
16	77	-24.23677	-65.18314	1087	5	Enero-Marzo	2015	Anuros	Especies en Sierra_Monte_Bolsones	INECOA	Tesina de grado Facultad de Ciencias Agrarias UNJu Lic. Noelia González	novi.arg31@gmail.com
17	78	-24.21816	-65.20794	1146	4	Enero-Marzo	2015	Anuros	Especies en Sierra_Monte_Bolsones	INECOA	Tesina de grado Facultad de Ciencias Agrarias UNJu Lic. Noelia González	novi.arg31@gmail.com
18	81	-24.17343	-65.48265	1750	1		2009-2017	Anuros	Especies en Sierra_Monte_Bolsones	INECOA		mauriakme@gmail.com
19	82	-24.16982	-65.33172	1300	8	Enero	2015	Anuros	Especies en Sierra_Monte_Bolsones	INECOA	Tesina de grado Facultad de Ciencias Agrarias UNJu Lic. Noelia González	novi.arg31@gmail.com
20	83	-24.15447	-65.37066	1366	1		2009-2017	Anuros	Especies en Sierra_Monte_Bolsones	INECOA		mauriakme@gmail.com
21	84	-24.15437	-65.37112	1365	8	Enero-Febrero	2015	Anuros	Especies en Sierra_Monte_Bolsones	INECOA	Tesina de grado Facultad de Ciencias Agrarias UNJu Lic. Noelia González	novi.arg31@gmail.com
22	85	-24.12197	-65.42636	1581	4			Anuros	Especies en Sierra_Monte_Bolsones	INECOA		marcos.vaira@gmail.com
23	86	-24.12183	-65.46471	1762	1		2009-2017	Anuros	Especies en Sierra_Monte_Bolsones	INECOA		mauriakme@gmail.com
24	87	-24.06922	-65.41284	1550	9	Enero-Febrero	2015	Anuros	Especies en Sierra_Monte_Bolsones	INECOA	Tesina de grado Facultad de Ciencias Agrarias UNJu Lic. Noelia González	novi.arg31@gmail.com
25	88	-24.04591	-65.42659	1616	3	Enero-Febrero	2015	Anuros	Especies en Sierra_Monte_Bolsones	INECOA	Tesina de grado Facultad de Ciencias Agrarias UNJu Lic. Noelia González	novi.arg31@gmail.com
26	89	-23.627894	-64.916687	2601	1			Anuros	Especies en Sierra_Monte_Bolsones	INECOA	Publicación	marcos.vaira@gmail.com
27	90	-23.363306	-65.341222	2750	5			Anuros	Especies en Sierra_Monte_Bolsones	INECOA		mauriakme@gmail.com
28	101	-23.67094	-65.58801	3239	4	Noviembre	2016	Roedores	Micromamiferos no voaldores	INECOA	José H. Urquizo	urquizojose@gmail.com 
29	138	-23.8161111	-64.71472222	350	7	octubre	2014	Chiropera	Micromamiferos voaldores	INECOA	José H. Urquizo	urquizojose@gmail.com 
30	139	-23.582601	-64.657687	843	1		2002	Anuros	estudio ecológico y una lista propuesta de especies de interés para la conservación.	INECOA	publicación	marcos.vaira@gmail.com
31	141	-24.35845	-65.30215	1272	3	Enero-Febrero	2015	Anuros	Especies de anuros en Yungas	INECOA	Tesina de grado Facultad de Ciencias Agrarias UNJu Lic. Noelia González	novi.arg31@gmail.com
32	142	-24.34491	-65.28886	1276	8	Enero-Febrero	2015	Anuros	Especies de anuros en Yungas	INECOA	Tesina de grado Facultad de Ciencias Agrarias UNJu Lic. Noelia González	novi.arg31@gmail.com
33	143	-24.33186	-65.04954	886	6	Enero-Febrero	2015	Anuros	Especies de anuros en Yungas	INECOA	Tesina de grado Facultad de Ciencias Agrarias UNJu Lic. Noelia González	novi.arg31@gmail.com
34	144	-24.32216	-65.06204	899	3	Enero-Febrero	2015	Anuros	Especies de anuros en Yungas	INECOA	Tesina de grado Facultad de Ciencias Agrarias UNJu Lic. Noelia González	novi.arg31@gmail.com
35	145	-24.30978	-65.31282	1428	8	Enero-Febrero	2015	Anuros	Especies de anuros en Yungas	INECOA	Tesina de grado Facultad de Ciencias Agrarias UNJu Lic. Noelia González	novi.arg31@gmail.com
36	146	-24.30797	-65.35474	1509	8	Enero-Febrero	2015	Anuros	Especies de anuros en Yungas	INECOA	Tesina de grado Facultad de Ciencias Agrarias UNJu Lic. Noelia González	novi.arg31@gmail.com
37	149	-24.24203	-65.0204	1141	11			Anuros	Especies de anuros en Yungas	INECOA	Tesina de grado Facultad de Ciencias Agrarias UNJu Lic. Noelia González	novi.arg31@gmail.com
38	150	-24.23988	-65.08208	1481	1			Anuros	Especies de anuros en Yungas	INECOA		mauriakme@gmail.com
39	152	-24.1655	-65.48002	1948	1			Anuros	Especies de anuros en Yungas	INECOA		mauriakme@gmail.com
40	153	-24.147	-65.469028	2125	1			Anuros	Especies de anuros en Yungas	INECOA		marcos.vaira@gmail.com
41	154	-24.14584	-65.29514	1370	4	Enero-Febrero	2015	Anuros	Especies de anuros en Yungas	INECOA	Tesina de grado Facultad de Ciencias Agrarias UNJu Lic. Noelia González	novi.arg31@gmail.com
42	155	-24.142556	-64.39866	1121	10			Anuros	Especies de anuros en Yungas	INECOA		mauriakme@gmail.com
43	156	-24.12289	-65.50149	2021	1			Anuros	Especies de anuros en Yungas	INECOA		marcos.vaira@gmail.com
44	157	-24.118419	-65.480278	2054	5			Anuros	Especies de anuros en Yungas	INECOA		marcos.vaira@gmail.com
45	158	-24.114884	-65.484968	2041	10			Anuros	Especies de anuros en Yungas	INECOA		marcos.vaira@gmail.com
46	159	-24.09812	-64.42968	1550	1			Anuros	Especies de anuros en Yungas	INECOA		mauriakme@gmail.com
47	160	-24.09672	-64.3989	1028	6			Anuros	Especies de anuros en Yungas	INECOA		mauriakme@gmail.com
48	161	-24.083873	-65.164673	1374	1			Anuros	Especies de anuros en Yungas	INECOA		marcos.vaira@gmail.com
49	162	-24.083705	-65.172955	1252	1			Anuros	Especies de anuros en Yungas	INECOA		mauriakme@gmail.com
50	163	-24.07493	-65.14509	1192	1			Anuros	Especies de anuros en Yungas	INECOA		mauriakme@gmail.com
51	164	-24.06729	-65.13932	1284	1			Anuros	Especies de anuros en Yungas	INECOA		mauriakme@gmail.com
52	165	-24.023374	-65.389851	1754	4	Enero-Febrero	2015	Anuros	Especies de anuros en Yungas	INECOA	Tesina de grado Facultad de Ciencias Agrarias UNJu Lic. Noelia González	novi.arg31@gmail.com
53	166	-24.02024	-65.25256	1685	1			Anuros	Especies de anuros en Yungas	INECOA		mauriakme@gmail.com
54	167	-24.01908	-65.39114	1785	1			Anuros	Especies de anuros en Yungas	INECOA		mauriakme@gmail.com
55	168	-24.00629	-65.3532	1614	1			Anuros	Especies de anuros en Yungas	INECOA		mauriakme@gmail.com
56	169	-24.00615	-65.35172	1613	1			Anuros	Especies de anuros en Yungas	INECOA		mauriakme@gmail.com
57	170	-24.003792	-65.364571	1668	9	Enero-Febrero	2015	Anuros	Especies de anuros en Yungas	INECOA	Tesina de grado Facultad de Ciencias Agrarias UNJu Lic. Noelia González	novi.arg31@gmail.com
58	171	-24.003789	-65.364589	1669	5			Anuros	Especies de anuros en Yungas	INECOA		mauriakme@gmail.com
59	173	-23.97474	-65.24595	1542	2			Anuros	Especies de anuros en Yungas	INECOA		mauriakme@gmail.com
60	174	-23.95296	-65.298665	1810	3			Anuros	Especies de anuros en Yungas	INECOA		mauriakme@gmail.com
61	175	-23.951778	-65.246361	1789	6			Anuros	Especies de anuros en Yungas	INECOA		mauriakme@gmail.com
62	177	-23.907924	-64.93835	781	8			Anuros	Especies de anuros en Yungas	INECOA	Publicación	marcos.vaira@gmail.com
63	178	-23.85858	-65.09071	1071	1			Anuros	Especies de anuros en Yungas	INECOA		mauriakme@gmail.com
64	179	-23.761849	-64.850787	596	5		2000	Anuros	Especies de anuros en Yungas	INECOA	Publicación	marcos.vaira@gmail.com
65	180	-23.759116	-64.849091	617	8			Anuros	Especies de anuros en Yungas	INECOA	Publicación	marcos.vaira@gmail.com
66	181	-23.75473	-64.84978	636	6			Anuros	Especies de anuros en Yungas	INECOA	Publicación	marcos.vaira@gmail.com
67	182	-23.741267	-64.857696	659	1			Anuros	Especies de anuros en Yungas	INECOA	Publicación	marcos.vaira@gmail.com
68	183	-23.703856	-64.780623	645	4			Anuros	Especies de anuros en Yungas	INECOA	Publicación	marcos.vaira@gmail.com
69	184	-23.703659	-64.780686	646	5			Anuros	Especies de anuros en Yungas	INECOA	Publicación	marcos.vaira@gmail.com
70	185	-23.700681	-64.872145	1204	1			Anuros	Especies de anuros en Yungas	INECOA	Publicación	marcos.vaira@gmail.com
71	186	-23.699087	-64.873657	1264	2			Anuros	Especies de anuros en Yungas	INECOA	Publicación	marcos.vaira@gmail.com
72	187	-23.69376	-64.867918	1127	6			Anuros	Especies de anuros en Yungas	INECOA	Publicación	marcos.vaira@gmail.com
73	188	-23.69028	-64.87625	1428	1			Anuros	Especies de anuros en Yungas	INECOA	Publicación	marcos.vaira@gmail.com
