	Unnamed: 0	Latitud	Longitud	Altura	Taxa	Mes	Anio	Titulo	Descripcion	Institucion	Fuente	Contacto
0	0	-24.013556	-66.514667	<b>4168</b><br><u>MSNM</u><br><i>Punto de Prueba</i>	3	Marzo	2006.0	Roedores	Altos Andes	UNT	"Museo Argentino de Ciencias Naturales ""Bernardino Rivadavia"""	ARG
1	1	-23.665433	-65.298617	4101	7			Roedores	Altos Andes	UNT	Colección Mamíferos Lillo	LT-RMB
2	2	-23.6628	-65.335475	4214	10	Febrero	1931.0	Roedores	Altos Andes	UNT	Colección Mamíferos Lillo	E. Budin
3	3	-23.6584	-65.328017	4273	3			Roedores	Altos Andes	UNT	Colección Mamíferos Lillo	LT-RMB
4	4	-23.473983	-66.793311	4262	1	Enero	2010.0	Roedores	Altos Andes	UNT	Colección Mamíferos Lillo	LIF
5	5	-23.403	-66.513361	4090	1	Diciembre	2004.0	Roedores	Altos Andes	UNT	Instituto Argentino de Investigaciones de las Zonas Áridas -COLECCIÓN MASTOZOOLÓGICA	CL
6	6	-23.387139	-66.544389	4180	2	Diciembre	2004.0	Roedores	Altos Andes	UNT	Instituto Argentino de Investigaciones de las Zonas Áridas -COLECCIÓN MASTOZOOLÓGICA	CL
7	7	-23.268776	-66.456802	4114	2	Diciembre	1995.0	Roedores	Altos Andes	UNT	Colección Mamíferos Lillo	MMD
8	10	-23.1275	-65.203056	4043	2	Agosto	2002.0	Roedores	Altos Andes	UNT	Centro Nacional Patagónico Colección Mamíferos	UP
9	11	-22.930233	-66.312469	4163	1	Marzo	1998.0	Roedores	Altos Andes	UNT	Colección Mamíferos Lillo	MMD
10	20	-24.013556	-66.514667	4168	3	Marzo	2006.0	Roedores	Altos Andes	UNT	"Museo Argentino de Ciencias Naturales ""Bernardino Rivadavia"""	ARG
11	21	-23.665433	-65.298617	4101	7			Roedores	Altos Andes	UNT	Colección Mamíferos Lillo	LT-RMB
12	22	-23.6628	-65.335475	4214	10	Febrero	1931.0	Roedores	Altos Andes	UNT	"Museo Argentino de Ciencias Naturales ""Bernardino Rivadavia"""	E. Budin
13	23	-23.6584	-65.328017	4273	3			Roedores	Altos Andes	UNT	Colección Mamíferos Lillo	LT-RMB
14	24	-23.473983	-66.793311	4262	1	Enero	2010.0	Roedores	Altos Andes	UNT	Colección Mamíferos Lillo	LIF
15	25	-23.403	-66.513361	4090	1	Diciembre	2004.0	Roedores	Altos Andes	UNT	Instituto Argentino de Investigaciones de las Zonas Áridas -COLECCIÓN MASTOZOOLÓGICA	CL
16	26	-23.387139	-66.544389	4180	2	Diciembre	2004.0	Roedores	Altos Andes	UNT	Instituto Argentino de Investigaciones de las Zonas Áridas -COLECCIÓN MASTOZOOLÓGICA	CL
17	27	-23.268776	-66.456802	4114	2	Diciembre	1995.0	Roedores	Altos Andes	UNT	Colección Mamíferos Lillo	MMD
18	30	-23.1275	-65.203056	4043	2	Agosto	2002.0	Roedores	Altos Andes	UNT	Centro Nacional Patagónico Colección Mamíferos	UP
19	31	-22.930233	-66.312469	4163	1	Marzo	1998.0	Roedores	Altos Andes	UNT	Colección Mamíferos Lillo	MMD
20	48	-23.845755	-66.79643	3918	1	Mayo	1996.0	Roedores	Puna	UNT	Colección Mamíferos Lillo	MMD
21	49	-23.7	-65.7	3842	1		2006.0	Roedores	Puna	UNT	Díaz y Barquez, 2007	Díaz y Barquez
22	50	-23.687611	-65.700081	3844	3	Agosto	2004.0	Roedores	Puna	UNT	Instituto Argentino de Investigaciones de las Zonas Áridas -COLECCIÓN MASTOZOOLÓGICA	LAB
23	51	-23.530705	-66.639841	3919	1	Diciembre	2009.0	Roedores	Puna	UNT	Colección Mamíferos Lillo	LIF
24	52	-23.400196	-66.370504	3682	1		2006.0	Roedores	Puna	UNT	Díaz y Barquez, 2007	Díaz y Barquez, 2007
25	53	-23.393256	-65.788017	3457	3	Diciembre	1995.0	Roedores	Puna	UNT	Colección Mamíferos Lillo	MMD
26	54	-23.328803	-66.597625	3915	2	Mayo	1996.0	Roedores	Puna	UNT	Colección Mamíferos Lillo	MMD
27	56	-23.204197	-65.240358	3562	2	Febrero	1991.0	Roedores	Puna	UNT	Instituto Argentino de Investigaciones de las Zonas Áridas -COLECCIÓN MASTOZOOLÓGICA	ARG
28	57	-23.201111	-65.233056	3630	3	Agosto	2002.0	Roedores	Puna	UNT	Centro Nacional Patagonico Colección Mamíferos	UP
29	58	-22.99426	-66.007326	3450	2		2006.0	Roedores	Puna	UNT	Díaz y Barquez, 2007	Díaz y Barquez
30	59	-22.947097	-65.509905	3608	1	Agosto	1987.0	Roedores	Puna	UNT	Museo de Mar del Plata Colección Mamíferos	M. Ortells
31	60	-22.918405	-65.589538	3701	1	Septiembre	1987.0	Roedores	Puna	UNT	Museo de Mar del Plata Colección Mamíferos	M. Ortells
